,Unnamed: 0,Unnamed: 0.1,Province/State,Country/Region,Lat,Long,Date,Confirmed,Deaths,Recovered,FIPS,Last_Update,Active,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate
0,0,0,Washington,US,47.4009,-121.4905,2020-02-01,0.0,0.0,0.0,53.0,,,,,,,,,,
1,1,1,New York,US,42.1657,-74.9481,2020-02-01,0.0,0.0,0.0,36.0,,,,,,,,,,
2,2,2,California,US,36.1162,-119.6816,2020-02-01,0.0,0.0,0.0,6.0,,,,,,,,,,
3,3,3,Massachusetts,US,42.2302,-71.5301,2020-02-01,0.0,0.0,0.0,25.0,,,,,,,,,,
4,4,4,Diamond Princess,US,35.4437,139.638,2020-02-01,0.0,0.0,0.0,,,,,,,,,,,
5,5,5,Grand Princess,US,37.6489,-122.6655,2020-02-01,0.0,0.0,0.0,,,,,,,,,,,
6,6,6,Georgia,US,33.0406,-83.6431,2020-02-01,0.0,0.0,0.0,13.0,,,,,,,,,,
7,7,7,Colorado,US,39.0598,-105.3111,2020-02-01,0.0,0.0,0.0,8.0,,,,,,,,,,
8,8,8,Florida,US,27.7663,-81.6868,2020-02-01,0.0,0.0,0.0,12.0,,,,,,,,,,
9,9,9,New Jersey,US,40.2989,-74.521,2020-02-01,0.0,0.0,0.0,34.0,,,,,,,,,,
10,10,10,Oregon,US,44.572,-122.0709,2020-02-01,0.0,0.0,0.0,41.0,,,,,,,,,,
11,11,11,Texas,US,31.0545,-97.5635,2020-02-01,0.0,0.0,0.0,48.0,,,,,,,,,,
12,12,12,Illinois,US,40.3495,-88.9861,2020-02-01,0.0,0.0,0.0,17.0,,,,,,,,,,
13,13,13,Pennsylvania,US,40.5908,-77.2098,2020-02-01,0.0,0.0,0.0,42.0,,,,,,,,,,
14,14,14,Iowa,US,42.0115,-93.2105,2020-02-01,0.0,0.0,0.0,19.0,,,,,,,,,,
15,15,15,Maryland,US,39.0639,-76.8021,2020-02-01,0.0,0.0,0.0,24.0,,,,,,,,,,
16,16,16,North Carolina,US,35.6301,-79.8064,2020-02-01,0.0,0.0,0.0,37.0,,,,,,,,,,
17,17,17,South Carolina,US,33.8569,-80.945,2020-02-01,0.0,0.0,0.0,45.0,,,,,,,,,,
